epoch: 1 -------------------
dev: accuracy = 0.8751981807408357
dev: f1 = 0.602412980169186
dev: loss = 0.31419444574781186
dev: precision = 0.5859975718332658
dev: recall = 0.6197745755457269
test: accuracy = 0.8772035797739592
test: f1 = 0.6029850746268657
test: loss = 0.31216938859524607
test: precision = 0.5896580483736447
test: recall = 0.6169284467713787

epoch: 2 -------------------
dev: accuracy = 0.8747177425812341
dev: f1 = 0.6021490371197321
dev: loss = 0.3167916172588209
dev: precision = 0.5892393827666257
dev: recall = 0.6156370380938793
test: accuracy = 0.8763293010539033
test: f1 = 0.6037547291027197
test: loss = 0.31406816272879506
test: precision = 0.5928781718771905
test: recall = 0.6150378126817917

epoch: 3 -------------------
dev: accuracy = 0.8721393911247057
dev: f1 = 0.6006536402197343
dev: loss = 0.33876987513646767
dev: precision = 0.5858654367878459
dev: recall = 0.6162077329148238
test: accuracy = 0.8746761194741611
test: f1 = 0.6031026422044342
test: loss = 0.33831442732137307
test: precision = 0.5879022234497997
test: recall = 0.6191099476439791

